Competitor,,Fran Times,Fran Times (Decimal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Smith, Fran,0:02:25,0.001678241, Helen, 7:19, Grace, 1:51, Filthy 50, 16:17, Fight Gone Bad,520, Sprint 400m, 0:58, Run 5k, 20:20, , Clean & Jerk, 335 lb, Snatch, 300 lb, Deadlift, 540 lb, Back Squat, 480 lb, Max Pull-ups,76, Mid Atlantic, CrossFit Krypton, Male,25," 5\11""""""""", 195 lb
Mathew Fraser, Fran,0:02:07,0.001469907, Helen, --, Grace, 1:18, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk, 375 lb, Snatch, 315 lb, Deadlift, 500 lb, Back Squat, 485 lb, Max Pull-ups,50, North East, Champlain Valley CrossFit, Champlain Valley CrossFit,25," 5\6""""""""", 185 lb
Bj\xc3\xb6rgvin Karl Gu\xc3\xb0mundsson, Fran,0:02:23,0.001655093, Helen, 0:00, Grace, 2:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 19:20, , Clean & Jerk, 335 lb, Snatch, 286 lb, Deadlift, 507 lb, Back Squat, 440 lb, Max Pull-ups,65, Europe, Crossfit Hengill, CrossFit Hengill,23, 178 cm, 185 lb
Dan Bailey, Fran,0:02:17,0.001585648, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,457, Sprint 400m, 0:47, Run 5k, 19:00, , Clean & Jerk, 305 lb, Snatch, 265 lb, Deadlift, 540 lb, Back Squat, 405 lb, Max Pull-ups,0, Southern California, Male,,31," 5\7""""""""", 179 lb
Spencer Hendel, Fran,0:02:25,0.001678241, Helen, 7:30, Grace, 1:30, Filthy 50, 17:40, Fight Gone Bad,447, Sprint 400m, 1:01, Run 5k, 20:32, , Clean & Jerk, 365 lb, Snatch, 305 lb, Deadlift, 565 lb, Back Squat, 550 lb, Max Pull-ups,62, North East, Reebok CrossFit Medfield, Male,27," 6\2""""""""", 215 lb
Scott Panchik, Fran,0:00:00,0, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk, 0 lb, Snatch, 0 lb, Deadlift, 0 lb, Back Squat, 0 lb, Max Pull-ups,0, Central East, CrossFit Mentality, Male,28," 5\9""""""""", 187 lb
Cole Sager, Fran,0:02:05,0.001446759, Helen, --, Grace, 1:10, Filthy 50, 14:14, Fight Gone Bad,476, Sprint 400m, 0:56, Run 5k, --, , Clean & Jerk, 340 lb, Snatch, 275 lb, Deadlift, 455 lb, Back Squat, 475 lb, Max Pull-ups,68, North West, CrossFit Deliverance, CrossFit Deliverance,25," 5\10""""""""", 207 lb
Noah Ohlsen, Fran,0:02:12,0.001527778, Helen, 0:00, Grace, 1:46, Filthy 50, 19:05, Fight Gone Bad,421, Sprint 400m, 0:59, Run 5k, 0:00, , Clean & Jerk, 345 lb, Snatch, 280 lb, Deadlift, 490 lb, Back Squat, 425 lb, Max Pull-ups,72, South East, Peak 360 CrossFit, Male,24," 5\7""""""""", 188 lb
Jonne Koski, Fran,0:00:00,0, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk, --, Snatch, --, Deadlift, --, Back Squat, --, Max Pull-ups, --, Europe, CrossFit Varasto, Male,21, 173 cm, 185 lb
Jacob Heppner, Fran,0:00:00,0, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk, --, Snatch, --, Deadlift, --, Back Squat, --, Max Pull-ups, --, North Central, Team 816, CrossFit 816,25," 5\8""""""""", 192 lb
Alex Vigneault, Fran,0:02:17,0.001585648, Helen, 7:12, Grace, --, Filthy 50, 14:54, Fight Gone Bad,457, Sprint 400m, --, Run 5k, 20:00, , Clean & Jerk, 360 lb, Snatch, 290 lb, Deadlift, 600 lb, Back Squat, 455 lb, Max Pull-ups,70, Canada East, CrossFit Quebec City, CrossFit Quebec City,23," 5\11""""""""", 205 lb
Aaron Hanna, Fran,0:02:20,0.00162037, Helen, 7:46, Grace, 1:30, Filthy 50, --, Fight Gone Bad,433, Sprint 400m, 0:55, Run 5k, --, , Clean & Jerk, 365 lb, Snatch, 275 lb, Deadlift, 500 lb, Back Squat, 450 lb, Max Pull-ups, --, South East, CrossFit Clearwater, CrossFit Clearwater,27," 6\1""""""""", 205 lb
Alex Anderson, Fran,0:00:00,0, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk, --, Snatch, --, Deadlift, --, Back Squat, --, Max Pull-ups, --, Central East, CrossFit Ktown, Male,25," 5\10""""""""", 210 lb
Lucas Parker, Fran,0:00:00,0, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk, 345 lb, Snatch, 291 lb, Deadlift, 0 lb, Back Squat, 490 lb, Max Pull-ups,0, Canada West, CrossFit Vic City, Male,26," 5\8""""""""", 187 lb
Ben Garard, Fran,0:02:05,0.001446759, Helen, 7:06, Grace, 1:30, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:58, Run 5k, 19:15, , Clean & Jerk, 150 kg, Snatch, 121 kg, Deadlift, 245 kg, Back Squat, 218 kg, Max Pull-ups,55, Australia, BENtonCrossFit, Bent On CrossFit,27, 165 cm, 183 lb
Elijah Muhammad, Fran,0:02:26,0.001689815, Helen, --, Grace, 1:32, Filthy 50, --, Fight Gone Bad,425, Sprint 400m, --, Run 5k, --, , Clean & Jerk, 350 lb, Snatch, 295 lb, Deadlift, 565 lb, Back Squat, 475 lb, Max Pull-ups, --, South East, CrossFit Calidus, Male,27," 6\0""""""""", 200 lb
Kevin Manuel, Fran,0:02:16,0.001574074, Helen, --, Grace, 1:46, Filthy 50, --, Fight Gone Bad,412, Sprint 400m, --, Run 5k, --, , Clean & Jerk, 150 kg, Snatch, 130 kg, Deadlift, 240 kg, Back Squat, 190 kg, Max Pull-ups,55, Australia, Mount CrossFit, Male,29, 187 cm, 90 kg
Jon Pera, Fran,0:02:13,0.001539352, Helen, 7:19, Grace, 1:19, Filthy 50, 17:29, Fight Gone Bad,486, Sprint 400m, 0:50, Run 5k, 20:25, , Clean & Jerk, 350 lb, Snatch, 280 lb, Deadlift, 500 lb, Back Squat, 475 lb, Max Pull-ups,53, Southern California, CrossFit Foothill, CrossFit Foothill,32," 5\10""""""""", 202 lb
Tyson Takasaki, Fran,0:02:10,0.00150463, Helen, 7:26, Grace, 0:00, Filthy 50, 15:36, Fight Gone Bad,484, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk, 345 lb, Snatch, 300 lb, Deadlift, 0 lb, Back Squat, 0 lb, Max Pull-ups,0, Canada West, Team Taranis, CrossFit Taranis,28," 6\1""""""""", 205 lb
Chad Cole, Fran,0:02:15,0.0015625, Helen, 7:10, Grace, 1:48, Filthy 50, 15:42, Fight Gone Bad,430, Sprint 400m, 0:00, Run 5k, 19:30, , Clean & Jerk, 310 lb, Snatch, 275 lb, Deadlift, 475 lb, Back Squat, 415 lb, Max Pull-ups,66, South West, CrossFit Apollo, CrossFit Apollo,25," 5\8""""""""", 180 lb
Adrian Conway, Fran,0:02:17,0.001585648, Helen, 0:00, Grace, 1:25, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:56, Run 5k, 21:15, , Clean & Jerk, 345 lb, Snatch, 275 lb, Deadlift, 590 lb, Back Squat, 490 lb, Max Pull-ups,70, South West, Wasatch CrossFit Blue, Wasatch CrossFit,30," 5\10""""""""", 202 lb
Roy Gamboa, Fran,0:02:15,0.0015625, Helen, 7:32, Grace, 1:27, Filthy 50, 19:50, Fight Gone Bad,0, Sprint 400m, 0:56, Run 5k, 21:25, , Clean & Jerk, 365 lb, Snatch, 310 lb, Deadlift, 525 lb, Back Squat, 465 lb, Max Pull-ups,50, South Central, CrossFit Abilene, CrossFit Abilene,28," 5\8""""""""", 200 lb
Rob Forte, Fran,0:02:16,0.001574074, Helen, 7:01, Grace, 1:16, Filthy 50, 16:41, Fight Gone Bad,472, Sprint 400m, 0:59, Run 5k, 18:50, , Clean & Jerk, 325 lb, Snatch, 270 lb, Deadlift, 495 lb, Back Squat, 418 lb, Max Pull-ups,53, Australia, Reebok CrossFit Frankston, Reebok CrossFit Frankston,29, 174 cm, 194 lb
Graham Holmberg, Fran,0:02:04,0.001435185, Helen, 7:04, Grace, 1:12, Filthy 50, 17:30, Fight Gone Bad,433, Sprint 400m, --, Run 5k, 19:00, , Clean & Jerk, 330 lb, Snatch, 270 lb, Deadlift, 535 lb, Back Squat, 440 lb, Max Pull-ups,55, Central East, Eleventh Element, CrossFit Hilliard,30," 5\11""""""""", 190 lb
Chad Melton, Fran,0:02:22,0.001643519, Helen, 7:57, Grace, 1:42, Filthy 50, --, Fight Gone Bad,431, Sprint 400m, --, Run 5k, 20:04, , Clean & Jerk, 345 lb, Snatch, 300 lb, Deadlift, 565 lb, Back Squat, 460 lb, Max Pull-ups,57, Southern California, CrossFit 2nd Nature, Male,25," 5\7""""""""", 205 lb
Steven Fawcett, Fran,0:02:11,0.001516204, Helen, 6:50, Grace, 1:40, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 19:00, , Clean & Jerk, 156 kg, Snatch, 120 kg, Deadlift, 202 kg, Back Squat, 200 kg, Max Pull-ups,65, Europe, CrossFit JST Black, CrossFit JST,27, 173 cm, 176 lb
Nathan Bramblett, Fran,0:02:06,0.001458333, Helen, --, Grace, 1:20, Filthy 50, --, Fight Gone Bad,472, Sprint 400m, --, Run 5k, 18:37, , Clean & Jerk, 350 lb, Snatch, 280 lb, Deadlift, 525 lb, Back Squat, 445 lb, Max Pull-ups,63, Mid Atlantic, CrossFit Oyster Point, Male,24," 5\10""""""""", 184 lb
Nick Urankar, Fran,0:02:10,0.00150463, Helen, 0:00, Grace, 1:24, Filthy 50, 15:30, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 19:37, , Clean & Jerk, 390 lb, Snatch, 305 lb, Deadlift, 535 lb, Back Squat, 475 lb, Max Pull-ups,55, Central East, CrossFit 061, CrossFit 061,31," 5\10""""""""", 195 lb
Phil Hesketh, Fran,0:02:14,0.001550926, Helen, 8:00, Grace, 1:41, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 1:08, Run 5k, 0:00, , Clean & Jerk, 325 lb, Snatch, 280 lb, Deadlift, 240 kg, Back Squat, 220 kg, Max Pull-ups,50, Africa, InnerFight, InnerFight CrossFit DXB,25, 180 cm, 206 lb
Lukas H\xc3\xb6gberg, Fran,0:00:00,0, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk, 143 kg, Snatch, 115 kg, Deadlift, 220 kg, Back Squat, 183 kg, Max Pull-ups,0, Europe, CrossFit Solid, CrossFit Solid,25, 183 cm, 207 lb
Daniel Tyminski, Fran,0:02:22,0.001643519, Helen, 7:02, Grace, 0:00, Filthy 50, 14:50, Fight Gone Bad,504, Sprint 400m, 0:00, Run 5k, 18:38, , Clean & Jerk, 340 lb, Snatch, 295 lb, Deadlift, 525 lb, Back Squat, 440 lb, Max Pull-ups,0, North East, CrossFit Lindy, CrossFit Lindy,29," 5\9""""""""", 195 lb
Travis Williams, Fran,0:02:24,0.001666667, Helen, 7:41, Grace, 1:22, Filthy 50, 19:20, Fight Gone Bad,486, Sprint 400m, 1:02, Run 5k, 20:55, , Clean & Jerk, 365 lb, Snatch, 285 lb, Deadlift, 550 lb, Back Squat, 475 lb, Max Pull-ups,50, South Central, U Can CrossFit, U Can CrossFit,23," 5\9""""""""", 205 lb
Khan Porter, Fran,0:02:04,0.001435185, Helen, --, Grace, 1:34, Filthy 50, 16:40, Fight Gone Bad,468, Sprint 400m, --, Run 5k, --, , Clean & Jerk, 155 kg, Snatch, 125 kg, Deadlift, 230 kg, Back Squat, 200 kg, Max Pull-ups,70, Australia, CrossFit Play, CrossFit Play,26, 181 cm, 205 lb
Austin Malleolo, Fran,0:02:11,0.001516204, Helen, 6:56, Grace, 1:47, Filthy 50, 14:05, Fight Gone Bad,470, Sprint 400m, 0:59, Run 5k, 20:21, , Clean & Jerk, 325 lb, Snatch, 255 lb, Deadlift, 570 lb, Back Squat, 420 lb, Max Pull-ups,65, North East, Reebok CrossFit ONE Team A, Reebok CrossFit One,28," 5\5""""""""", 178 lb
Julian Alcaraz, Fran,0:02:24,0.001666667, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 18:44, , Clean & Jerk, 335 lb, Snatch, 250 lb, Deadlift, 485 lb, Back Squat, 470 lb, Max Pull-ups,55, Southern California, CrossFit Training Yard, CrossFit Training Yard,26," 5\10""""""""", 197 lb
Jordan Cook, Fran,0:02:14,0.001550926, Helen, 7:01, Grace, 1:37, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 1:00, Run 5k, 20:00, , Clean & Jerk, 330 lb, Snatch, 270 lb, Deadlift, 500 lb, Back Squat, 440 lb, Max Pull-ups, --, South Central, CrossFit Bay Area, Male,23," 5\9""""""""", 193 lb
Kevin Simons, Fran,0:02:03,0.001423611, Helen, 0:00, Grace, 1:11, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:59, Run 5k, 0:00, , Clean & Jerk, 361 lb, Snatch, 302 lb, Deadlift, 575 lb, Back Squat, 515 lb, Max Pull-ups,0, North West, Male,,27," 5\7""""""""", 193 lb
Joe Scali, Fran,0:02:14,0.001550926, Helen, 0:00, Grace, 2:11, Filthy 50, 15:05, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk, 330 lb, Snatch, 265 lb, Deadlift, 505 lb, Back Squat, 450 lb, Max Pull-ups,0, Canada West, Crossfit SEMI, CrossFit Semiahmoo,29," 6\0""""""""", 190 lb
Neal Maddox, Fran,0:02:04,0.001435185, Helen, 7:45, Grace, 1:35, Filthy 50, 14:34, Fight Gone Bad,505, Sprint 400m, 1:01, Run 5k, 0:00, , Clean & Jerk, 353 lb, Snatch, 295 lb, Deadlift, 505 lb, Back Squat, 510 lb, Max Pull-ups,60, Northern California, CrossFit X-treme Athletics, Male,38," 5\10""""""""", 208 lb
Chad Mackay, Fran,0:02:25,0.001678241, Helen, 7:00, Grace, 1:25, Filthy 50, 18:00, Fight Gone Bad,400, Sprint 400m, 1:00, Run 5k, 20:00, , Clean & Jerk, 150 kg, Snatch, 135 kg, Deadlift, 240 kg, Back Squat, 200 kg, Max Pull-ups,60, Australia, CrossFit Active, CrossFit Active Artarmon,34," 6\1""""""""", 215 lb
